Day_Number,Website_Visitors,Ad_Spend_PKR,Discount_Percent,Weekend,Daily_Orders
1,1399,15468,4,1,203
2,5234,22217,18,1,487
3,4565,21805,2,0,310
4,3357,16397,20,1,385
5,3324,27724,19,0,363
6,5708,19174,2,1,439
7,1381,4836,23,0,186
8,4805,25067,12,0,425
9,2028,19450,24,0,264
10,1427,21224,1,1,199
11,3848,19178,5,0,376
12,6363,18830,15,1,505
13,5020,5171,5,0,301
14,5162,18996,10,0,456
15,4917,25949,20,1,579
16,5301,11466,4,0,336
17,3774,20283,21,1,421
18,1617,3409,3,1,185
19,5602,12751,5,0,431
20,3422,15383,18,0,314
21,3701,31490,24,0,437
22,2976,8830,5,1,297
23,1922,10658,9,1,257
24,6089,14551,28,0,503
25,5276,31783,30,0,547
26,4505,27675,18,0,413
27,3153,3523,13,0,249
28,5507,9401,10,1,425
29,3954,26739,18,1,461
30,3383,4219,18,0,276
31,3422,27742,9,1,408
32,2172,10800,0,0,208
33,1415,29570,4,0,242
34,4005,11161,29,1,444
35,5872,15312,12,1,485
36,1257,22026,14,1,279
37,5706,6225,14,0,385
38,5534,18932,24,0,493
39,2449,17397,2,0,231
40,4437,25624,2,0,421
41,1825,31885,8,1,365
42,5145,22097,15,1,495
43,4822,14571,20,0,397
44,2885,14488,15,1,310
45,1280,14829,13,0,233
46,6335,26513,29,1,627
47,3395,11975,4,0,279
48,5901,7425,17,0,387
49,4696,12361,16,1,448
50,5258,3170,14,0,377
51,5155,5631,25,0,388
52,1989,5156,8,0,170
53,2937,25260,29,0,403
54,3513,23809,10,0,348
55,3687,23054,16,0,369
56,1145,16125,16,1,254
57,3960,23653,26,1,468
58,1764,7257,13,0,202
59,5062,29068,8,0,477
60,4725,17280,0,1,324
61,6066,30172,11,1,546
62,5070,6993,25,1,462
63,2953,17171,0,1,300
64,6318,23041,27,1,589
65,3200,17120,16,0,284
66,2724,15661,4,0,256
67,5971,7403,9,1,485
68,2974,13740,17,1,309
69,1327,9543,9,0,190
70,3529,11394,3,1,302
71,5355,22669,20,0,475
72,1961,21093,20,1,310
73,3492,20412,3,1,338
74,1627,13173,8,0,227
75,4744,30810,7,0,442
76,3563,5085,20,0,351
77,2749,12606,22,1,377
78,2170,5981,22,1,301
79,4061,12498,29,0,444
80,4650,30875,23,0,497
81,6165,13304,9,1,498
82,3348,29303,3,0,327
83,1799,17104,19,0,266
84,5562,23141,28,0,504
85,4426,15993,30,1,505
86,4821,10343,7,1,360
87,1444,25044,7,0,251
88,2649,31090,1,1,335
89,5199,10273,4,1,424
90,5560,25473,17,0,505
91,3337,10203,16,1,389
92,5406,23648,11,1,508
93,5613,25775,9,0,423
94,3069,15756,25,0,347
95,5929,24239,14,1,504
96,2514,10531,25,1,327
97,2241,4837,29,0,311
98,4721,5343,9,1,385
99,4465,15687,6,1,372
100,1682,29126,29,0,324
101,5563,6263,19,1,457
102,2019,15945,9,0,203
103,5407,23268,19,1,504
104,941,8469,15,0,175
105,5362,23787,28,0,541
106,5306,11525,7,1,433
107,5270,26355,30,0,472
108,4623,19586,29,1,510
109,3540,18633,5,0,309
110,4848,7714,5,1,381
111,2451,16164,16,1,364
112,5272,27770,1,1,412
113,4011,3075,9,0,267
114,3469,24876,13,0,375
115,3731,17036,30,1,412
116,4084,23724,30,1,531
117,1108,22067,4,1,242
118,1682,15246,27,0,302
119,2274,11605,2,1,228
120,1541,21005,23,0,303
